urticaria,"['a10.001.006.001', 'a23.004.002.001']"
injection site tenderness,0
injection site pain,"['a08.002.003.010', 'a12.007.003.011']"
aphasia,"['a17.002.003.001', 'a19.021.001.001']"
mental disorder,['a19.007.001.002']
brain neoplasm,"['a16.030.001.003', 'a17.020.001.003']"
oedema,"['a14.005.006.010', 'a08.001.007.006']"
excoriation,"['a23.003.011.003', 'a12.001.006.007']"
glioma,"['a17.020.001.004', 'a16.030.001.004']"
cardiac disorder,['a02.001.001.003']
hemianopia,"['a17.017.001.012', 'a06.002.007.004']"
hemiparesis,['a17.001.004.001']
herpes simplex,"['a11.005.002.001', 'a23.009.003.001']"
hyperpathia,['a17.002.007.015']
hyperaesthesia,['a17.002.006.004']
hypoaesthesia,['a17.002.006.023']
leukocytosis,['a01.002.001.002']
neoplasm,['a16.016.002.001']
nervous system disorder,['a17.002.010.001']
nervousness,['a19.006.002.003']
tension,['a19.006.002.005']
petechiae,"['a01.001.003.002', 'a24.007.006.004', 'a23.006.001.003']"
respiratory insufficiency,0
respiratory failure,"['a14.001.004.003', 'a22.002.006.002']"
seborrhoeic dermatitis,['a23.003.004.018']
skin disorder,['a23.003.003.007']
sunburn,"['a12.005.002.001', 'a23.003.009.007']"
photosensitivity reaction,['a23.003.009.003']
thrombocytopenia,['a01.008.001.002']
thromboembolism,['a24.001.001.005']
embolism,['a24.001.001.009']
embolism venous,['a24.001.001.003']
ulcer,['a08.003.006.001']
erythema,['a23.003.006.001']
chills,"['a15.005.003.016', 'a08.001.009.001']"
rash pustular,"['a11.001.012.002', 'a23.003.010.003']"
application site reaction,"['a08.002.001.006', 'a12.007.001.006']"
gamma-glutamyltransferase increased,['a13.003.001.011']
skin hypertrophy,['a23.001.004.002']
aspartate aminotransferase increased,['a13.003.001.006']
alanine aminotransferase increased,['a13.003.001.003']
dry skin,['a23.003.003.001']
eyelid oedema,"['a23.004.001.003', 'a06.004.004.004', 'a10.001.005.001']"
skin hyperpigmentation,['a23.005.001.003']
leukoderma,['a23.005.002.001']
unspecified disorder of skin and subcutaneous tissue,0
scab,['a23.003.003.004']
welts,0
discomfort,['a08.001.008.003']
tenderness,['a08.001.008.005']
skin exfoliation,['a23.003.007.003']
pustule,0
skin tightness,['a23.003.003.018']
hepatobiliary disease,['a09.001.008.003']
blood bilirubin increased,['a13.003.001.008']
induration,['a08.001.003.020']
photosensitivity,0
warmth,0
feeling hot,['a08.001.009.009']
dysaesthesia,['a17.002.006.003']
wound secretion,"['a08.001.003.035', 'a12.001.008.007']"
rash maculo-papular,['a23.003.013.004']
application site irritation,"['a12.007.001.003', 'a08.002.001.003']"
stinging,0
skin carcinoma,0
skin cancer,"['a23.008.002.002', 'a16.003.002.002']"
acne,['a23.002.001.001']
infestation nos,0
infestation,"['a23.009.005.001', 'a11.009.001.001']"
asthenic conditions,['a08.001.001']
blood amylase increased,['a13.005.001.002']
amylase increased,['a13.005.001.009']
accidental ingestion,0
accidental exposure to product,['a12.006.002.002']
hyperkeratosis,['a23.001.001.001']
photodermatosis,['a23.003.009.004']
brain oedema,"['a12.001.010.010', 'a17.007.002.003']"
photodamaged skin,0
alopecia,['a23.002.002.001']
extravasation,['a08.001.003.008']
fatigue,['a08.001.001.002']
lethargy,"['a17.002.004.003', 'a19.004.004.004', 'a08.001.001.008']"
leukopenia,['a01.002.002.001']
stomatitis,['a07.005.006.005']
wheezing,['a22.003.001.009']
malaise,['a08.001.001.003']
feeling abnormal,['a08.001.009.014']
ill-defined disorder,['a08.001.003.049']
anaphylactoid reaction,"['a10.001.002.003', 'a24.006.003.007']"
serum creatinine increased,0
blood creatinine increased,['a13.013.001.004']
febrile neutropenia,"['a08.005.002.004', 'a01.002.003.002']"
sensitisation,"['a08.001.005.009', 'a10.002.001.012']"
acute kidney injury,['a20.001.003.016']
renal failure acute,['a20.001.003.006']
syncope,"['a17.002.004.008', 'a24.006.002.012', 'a02.001.002.008']"
loss of consciousness,['a17.002.004.004']
shock,['a24.006.002.002']
confusional state,"['a19.013.001.001', 'a17.002.003.005']"
kidney function abnormal,['a20.001.003.003']
renal impairment,['a20.001.003.010']
abdominal pain upper,['a07.001.005.003']
abdominal pain lower,['a07.001.005.010']
abdominal tenderness,['a07.001.005.004']
disease progression,['a08.001.003.038']
caecitis,['a07.008.001.010']
rigors,0
neuropathy,['a17.009.003.002']
neuropathy peripheral,['a17.009.003.003']
premature separation of placenta,0
arthralgia,['a15.001.002.001']
asthma,"['a10.001.003.010', 'a22.003.001.002']"
bronchospasm,"['a22.003.001.004', 'a10.001.003.012']"
dehydration,['a14.005.005.001']
disseminated intravascular coagulation,"['a01.001.002.002', 'a24.001.001.010']"
amniotic fluid embolism,0
anaphylactoid syndrome of pregnancy,"['a10.001.002.005', 'a01.001.002.010', 'a24.001.006.004', 'a22.006.002.004', 'a18.002.002.006']"
endometritis,"['a21.014.001.002', 'a11.001.010.005']"
foetal distress syndrome,['a18.003.002.003']
flushing,"['a24.003.001.002', 'a08.001.003.025', 'a23.006.005.003']"
cardiac arrest,['a02.003.004.001']
foetal heart rate,['a13.021.001.004']
hiccups,"['a07.001.006.009', 'a22.002.004.002']"
immune system disorder,['a10.002.001.001']
inflammation,['a08.001.005.007']
laryngitis,"['a22.007.003.001', 'a11.001.013.001']"
cramp muscle,0
myocardial infarction,"['a24.004.004.009', 'a02.002.002.007']"
acute coronary syndrome,"['a24.004.004.011', 'a02.002.002.015']"
postpartum haemorrhage,"['a18.006.001.001', 'a24.007.003.003']"
pregnancy,['a18.008.002.004']
shivering,"['a08.001.009.011', 'a15.005.003.022']"
tremor,['a17.001.006.002']
uterine rupture,"['a18.002.002.001', 'a21.007.001.009', 'a12.001.015.001']"
vaginal inflammation,['a21.014.002.001']
vaginal infection,"['a21.014.002.002', 'a11.001.010.002']"
vulvitis,"['a21.014.002.006', 'a11.001.010.007']"
bronchoconstriction,0
urinary retention,['a20.002.002.011']
neck stiffness,['a15.003.001.002']
musculoskeletal stiffness,['a15.003.001.005']
nuchal rigidity,"['a15.005.004.005', 'a17.005.002.006']"
oedema genital,['a21.010.001.011']
eye pain,['a06.008.003.002']
skin discolouration,['a23.003.003.005']
chest tightness,"['a02.002.002.013', 'a22.002.008.005', 'a08.001.008.021']"
chest discomfort,"['a08.001.008.019', 'a02.002.002.009', 'a22.002.008.001']"
vaginal pain,0
vulvovaginal pain,['a21.008.002.009']
breast tenderness,['a21.005.005.004']
failed induction of labour,['a18.007.003.001']
uterine hypertonus,"['a21.007.003.004', 'a18.007.002.003']"
vision blurred,"['a17.017.001.010', 'a06.002.006.007']"
postoperative infection,0
post procedural infection,"['a11.001.008.019', 'a12.002.005.010']"
death neonatal,"['a18.004.001.002', 'a08.004.001.002']"
vasovagal symptoms,0
presyncope,"['a24.006.002.010', 'a17.002.005.009', 'a02.001.002.007']"
vaginal irritation,0
vulvovaginal discomfort,['a21.008.002.005']
stillbirth,"['a18.001.002.002', 'a08.004.001.006']"
hot flush,"['a08.001.003.027', 'a24.003.001.005', 'a21.002.002.001']"
menopausal symptoms,['a21.002.002.002']
sweating increased,0
hyperhidrosis,"['a08.001.003.028', 'a23.002.003.004']"
hearing impaired,['a04.002.001.005']
deafness,['a04.002.001.001']
vaginismus,"['a19.008.005.005', 'a21.008.002.012']"
arthritis,['a15.001.001.001']
ascites,"['a07.007.001.001', 'a09.001.005.003', 'a02.005.004.002']"
cellulitis,"['a11.002.001.001', 'a23.009.001.001']"
neck pain,['a15.003.004.009']
collagen disorder,"['a10.004.004.002', 'a15.006.001.005']"
connective tissue disorder,['a15.006.001.006']
cyanosis,"['a02.001.002.002', 'a22.002.002.007', 'a24.003.001.007']"
eczema,['a23.003.004.006']
endocrine disorder,['a05.009.001.001']
epistaxis,"['a24.007.001.005', 'a22.004.003.001']"
flatulence,['a07.001.004.002']
cardiac failure,['a02.005.001.001']
haematuria,"['a24.007.001.047', 'a20.002.001.006']"
haemothorax,"['a24.007.001.008', 'a22.005.002.001', 'a12.001.003.002']"
hypersplenism,['a01.009.002.002']
hyperthyroidism,"['a14.011.001.011', 'a05.002.002.001']"
orthostatic hypotension,"['a24.006.003.004', 'a17.005.001.020']"
mediastinal disorder,['a22.009.003.001']
musculoskeletal pain,['a15.003.004.007']
pallor,"['a24.003.004.001', 'a23.003.003.031', 'a08.001.003.032']"
pancytopenia,['a01.003.003.003']
pleural effusion,['a22.005.002.002']
pneumonia,"['a22.007.001.003', 'a11.001.009.003']"
pneumothorax,['a22.005.002.003']
pulmonary oedema,"['a02.005.002.003', 'a22.001.003.003']"
pulmonary embolism,"['a22.006.002.001', 'a24.001.006.001']"
septicemia,0
sepsis,['a11.001.011.003']
skin ulcer,"['a24.004.003.007', 'a23.007.003.003']"
splenomegaly,['a01.009.002.001']
sweating,0
thirst,"['a14.003.002.007', 'a08.001.009.021']"
vasodilation,0
vasodilation procedure,['a25.003.001.001']
dry mouth,['a07.006.001.002']
peripheral vascular disorder,['a24.003.001.003']
hepatic failure,['a09.001.003.002']
agitation,"['a19.006.002.001', 'a17.002.005.012']"
lassitude,0
abdominal discomfort,['a07.001.006.001']
abdominal colic,0
cardiac failure right,0
right ventricular failure,['a02.005.003.002']
pain in jaw,['a15.002.001.003']
hypoxia,['a22.002.002.003']
rectal haemorrhage,"['a07.012.003.001', 'a24.007.002.018']"
psychotic depression,0
major depression,['a19.015.001.003']
enlargement abdomen,0
abdominal distension,['a07.001.004.001']
influenza-like symptoms,0
influenza like illness,['a08.001.003.010']
platelet count decreased,['a13.001.004.001']
hyperkinesia,['a17.001.002.008']
bradycardia,['a02.003.002.002']
application site pain,"['a08.002.001.004', 'a12.007.001.004']"
instillation site pain,"['a12.007.001.008', 'a08.002.001.008']"
catheter related infection,0
device related infection,"['a11.001.008.018', 'a08.007.001.005']"
procedural complication,['a12.002.005.005']
acute confusional state,0
somnolence,"['a17.002.004.006', 'a19.002.005.003']"
amniotic cavity infection,"['a11.001.010.014', 'a18.005.001.004']"
premature rupture of membranes,['a18.007.001.003']
foetal acidosis,['a18.003.002.002']
acidosis,['a14.001.003.002']
hypernatraemia,['a14.005.004.001']
corneal oedema,['a06.004.002.001']
corneal opacity,['a06.006.003.005']
corneal decompensation,['a06.008.001.003']
apnoea,['a22.002.001.001']
atrioventricular block,['a02.003.001.002']
drowsiness,0
hyperventilation,"['a19.001.002.004', 'a22.002.001.006']"
nasal congestion,['a22.004.004.001']
numbness,0
sensory loss,['a17.002.007.007']
supraventricular extrasystoles,['a02.003.003.011']
scotoma,"['a06.002.007.001', 'a17.017.001.007']"
sinoatrial block,['a02.003.001.010']
device capturing issue,['a08.008.002.008']
cerebrovascular accident,"['a17.008.001.007', 'a24.003.005.001']"
sinus tachycardia,['a02.003.003.010']
tinnitus,"['a04.004.001.002', 'a17.004.007.004']"
torsade de pointes,['a02.003.004.005']
ventricular fibrillation,['a02.003.004.008']
ventricular tachycardia,['a02.003.004.010']
micturition urgency,['a20.002.002.006']
pollakiuria,['a20.002.002.007']
ventricular arrhythmia,['a02.003.004.006']
atrioventricular block first degree,['a02.003.001.004']
burning sensation,"['a17.002.006.001', 'a08.001.009.029']"
mood swings,['a19.004.003.001']
affect lability,['a19.004.001.001']
atrioventricular block complete,['a02.003.001.003']
ventricular extrasystoles,['a02.003.004.007']
haemorrhage intracranial,"['a17.008.001.008', 'a24.007.004.003']"
intracranial pressure increased,['a17.007.002.002']
myocardial ischaemia,"['a24.004.004.010', 'a02.002.002.008']"
respiratory arrest,['a22.002.001.009']
lightheadedness,0
skipped beats,0
extrasystoles,['a02.003.002.003']
apprehension,0
head pressure,0
excitability,0
back distress,0
throat tightness,"['a22.002.005.015', 'a19.001.002.005']"
taste metallic,0
atrioventricular block second degree,['a02.003.001.005']
chest pressure,"['a08.001.008.020', 'a02.002.002.012', 'a22.002.008.004']"
tonic-clonic seizures,0
grand mal convulsion,['a17.012.001.001']
blood pressure increased,['a13.014.003.005']
electrocardiogram st segment elevation,['a13.014.005.025']
electrocardiogram st segment depression,['a13.014.005.005']
sinus arrest,['a02.003.003.007']
non-sustained ventricular tachycardia,0
limb discomfort,['a15.003.004.014']
nodal block,0
general discomfort,0
ear discomfort,['a04.003.001.005']
gastrointestinal discomfort,['a07.001.006.023']
coronary artery disease,"['a24.004.004.006', 'a02.002.001.001']"
tingling sensation,0
abscess,['a11.001.008.001']
central nervous system disorder,0
coma,['a17.002.009.001']
cardiac failure congestive,['a02.005.001.002']
haemolysis,['a01.006.004.002']
hypokalaemia,['a14.005.003.002']
irritability,"['a08.001.003.011', 'a19.004.002.013']"
necrosis,"['a08.003.003.001', 'a24.004.002.006']"
phlebitis,"['a12.002.001.002', 'a24.005.003.001']"
salivation,0
salivary hypersecretion,['a07.006.001.009']
thrombophlebitis,['a24.001.002.001']
venous thrombosis,['a24.001.001.008']
lacrimation,0
lacrimation increased,['a06.008.002.004']
water retention,0
fluid retention,"['a14.005.006.002', 'a20.001.002.003']"
hypochromic anaemia,['a01.003.002.004']
anuria,['a20.001.003.002']
balanitis,['a21.009.003.002']
joint dislocation,"['a15.001.007.002', 'a12.004.002.007']"
ecchymosis,"['a24.007.006.002', 'a23.006.001.001', 'a01.001.003.001']"
fibrosis,['a08.003.001.001']
fracture,"['a12.004.002.001', 'a15.008.002.001']"
multiple fractures,"['a12.004.002.009', 'a15.008.002.005']"
haematoma,['a24.007.001.001']
inguinal hernia,['a07.016.002.001']
hyperbilirubinaemia,"['a14.011.001.010', 'a09.001.001.003', 'a01.006.004.003']"
hypercapnia,"['a14.001.004.001', 'a22.002.002.002']"
carbon dioxide increased,['a13.002.001.011']
hypercholesterolaemia,['a14.008.001.001']
hyperaemia,['a24.003.002.002']
hyperglycaemia,"['a05.006.002.002', 'a14.006.002.002']"
hypertriglyceridaemia,['a14.008.002.001']
blood triglycerides increased,['a13.012.003.001']
hypertrophy,['a08.003.004.005']
hypoglycaemia,"['a05.006.003.001', 'a14.006.003.001']"
body temperature decreased,['a13.015.001.010']
hypothermia,"['a12.005.003.001', 'a08.005.001.003']"
leg pain,['a15.003.004.006']
pain in extremity,['a15.003.004.010']
mydriasis,"['a06.005.003.004', 'a17.002.011.003']"
nodule,['a08.003.005.002']
pelvic pain,"['a20.002.003.007', 'a21.010.001.001', 'a07.001.006.012']"
penis disorder,['a21.012.001.001']
peyronie's disease,['a21.012.001.002']
peritonitis,"['a11.001.007.007', 'a07.019.005.004']"
tight foreskin,0
phimosis,"['a21.012.001.004', 'a03.003.001.003']"
pneumopericardium,0
priapism,['a21.003.001.005']
prostatic disorder,['a21.004.001.001']
prostatitis,['a21.009.001.001']
separation,0
partner stress,['a26.004.001.002']
neoplasm skin,"['a23.008.002.003', 'a16.003.002.003']"
spermatocele,0
swelling,['a08.001.003.015']
supraventricular tachycardia,['a02.003.003.012']
tachyphylaxis,0
testicular disorder,['a21.013.001.002']
testicular pain,['a21.013.001.005']
upper respiratory tract infection,"['a22.007.003.011', 'a11.001.013.009']"
urethral disorder,['a20.007.001.002']
laceration,"['a23.003.011.004', 'a12.001.006.006']"
trauma,0
injection site swelling,"['a12.007.003.018', 'a08.002.003.017']"
scrotal oedema,['a21.012.002.001']
injection site haemorrhage,"['a24.007.001.010', 'a08.002.003.005', 'a12.007.003.005']"
injection site inflammation,"['a08.002.003.008', 'a12.007.003.009']"
penile oedema,['a21.012.001.007']
hypertrophic osteoarthropathy,0
joint hyperextension,"['a15.001.008.003', 'a12.004.003.004']"
tachypnoea,['a22.002.001.014']
respiratory rate decreased,['a13.015.001.003']
painful erection,['a21.003.001.009']
respiratory depression,['a22.002.001.010']
pulmonary function test decreased,['a13.019.001.001']
feeling strange,0
burning feeling vagina,0
vulvovaginal burning sensation,['a21.008.002.007']
perineal pain,['a21.010.001.003']
urethral haemorrhage,"['a24.007.003.006', 'a20.007.001.003']"
diabetic,0
diabetes mellitus,"['a05.006.001.001', 'a14.006.001.001']"
scrotal disorder,['a21.012.002.009']
redness,0
ventricular hypertrophy,['a02.004.002.012']
stiffness,0
respiratory distress,['a22.002.001.012']
penile pain,['a21.012.001.008']
tooth abscess,"['a07.009.001.003', 'a11.001.004.003']"
pain localised,0
injection site bruising,0
drug effect decreased,['a08.006.001.008']
abdominal pain localised,0
injection site haematoma,"['a12.007.003.004', 'a08.002.003.004', 'a24.007.001.009']"
feeling jittery,['a08.001.009.016']
yeast infection,0
fungal infection,['a11.003.005.001']
drug ineffective,['a08.006.001.006']
injection site pruritus,"['a23.003.012.007', 'a08.002.003.013', 'a12.007.003.014']"
application site pruritus,"['a12.007.001.005', 'a23.003.012.004', 'a08.002.001.005']"
local reaction,['a08.001.003.012']
hypotension symptomatic,0
peritonsillitis,0
skin tear,0
flu symptoms,0
device malfunction,['a08.008.002.002']
regurgitation,['a07.001.007.004']
erection prolonged,0
erection increased,"['a21.003.001.004', 'a19.008.004.002']"
abnormal ejaculation,0
ejaculation disorder,['a21.003.001.002']
cerebral haemorrhage,"['a17.008.001.003', 'a24.007.004.001']"
penile curvature,0
penile haematoma,0
abnormal vision,['a06.002.006.001']
visual impairment,['a06.002.006.008']
atresia biliary,0
congenital absence of bile ducts,0
microcephaly,"['a15.011.002.002', 'a03.011.002.002']"
sickle cell anaemia,"['a01.004.002.002', 'a03.015.003.001']"
edema cerebral,0
choking,['a22.002.005.001']
nasal obstruction,0
skin necrosis,['a23.003.003.011']
rash macular,['a23.003.013.003']
surgical intervention,0
surgery,['a25.001.002.003']
phlebitis superficial,['a24.005.003.004']
perioral tingling,0
paraesthesia oral,"['a17.002.006.008', 'a07.005.003.003']"
pyoderma,"['a11.001.012.009', 'a23.009.001.007']"
dermatitis infected,"['a11.001.012.011', 'a23.003.004.024']"
dandruff,['a23.003.016.001']
application site anaesthesia,"['a17.002.006.010', 'a12.007.001.017', 'a08.002.001.017']"
eye irritation,['a06.004.005.003']
application site rash,"['a12.007.001.016', 'a08.002.001.016', 'a23.003.013.008']"
thermal burn,['a12.005.004.001']
application site dryness,"['a08.002.001.011', 'a23.003.003.024', 'a12.007.001.011']"
application site excoriation,0
application site erosion,"['a12.007.001.021', 'a23.007.003.011', 'a08.002.001.021']"
glossitis,['a07.014.001.001']
homocystinuria,0
personality disorder,['a19.005.002.002']
sleep disturbance,0
sleep disorder,['a19.002.004.001']
tooth disorder,['a07.009.005.001']
urinary incontinence,"['a17.005.001.008', 'a20.002.002.010']"
urinary tract disorder,['a20.008.001.001']
malnutrition,['a14.003.002.004']
upset stomach,0
hypermethioninaemia,"['a14.014.004.001', 'a03.008.004.001']"
bad taste,0
distress gastrointestinal,0
aspiration,['a22.002.007.007']
calcinosis,['a08.003.004.002']
delirium,['a19.013.002.001']
venospasm,0
vasospasm,['a24.004.002.002']
stupor,"['a17.002.004.007', 'a19.002.005.004']"
depressed level of consciousness,['a17.002.004.002']
sense of oppression,['a08.001.009.020']
peripheral vasodilatation,"['a23.006.005.005', 'a24.003.002.008']"
vasodilatation,"['a23.006.005.006', 'a24.003.002.003']"
chalky taste,0
airway obstruction nos,0
obstructive airways disorder,['a22.003.001.011']
obliterative bronchiolitis,['a22.003.001.012']
intestinal obstruction,['a07.013.001.002']
gastrointestinal obstruction,['a07.013.001.005']
agranulocytosis,['a01.002.003.001']
aplastic anaemia,['a01.003.003.002']
enterocolitis,['a07.008.003.003']
blood disorder,['a01.005.001.004']
leukaemia,"['a16.001.003.001', 'a01.010.003.001']"
paroxysmal nocturnal haemoglobinuria,"['a24.001.001.015', 'a20.002.001.022', 'a01.006.003.003']"
neuritis,['a17.009.003.001']
typhoid fever,0
bone marrow depression,0
ocular hyperaemia,['a06.004.005.004']
endophthalmitis,"['a06.004.005.009', 'a11.001.006.003']"
hypoplastic anaemia,['a01.003.003.006']
rash vesicular,['a23.003.013.009']
vasomotor collapse,0
jarisch-herxheimer reaction,['a10.002.001.002']
grey syndrome neonatal,"['a02.005.001.006', 'a18.004.007.002']"
eye swelling,['a06.008.003.003']
respiration irregularity,0
respiratory disorder,['a22.002.007.002']
reaction gastrointestinal,0
drug interaction,['a08.006.003.001']
reaction to drug excipients,0
bone marrow aplastic,['a01.003.003.009']
conjunctival hyperaemia,['a06.004.001.004']
reflux esophagitis,0
gastrooesophageal reflux disease,['a07.002.002.003']
jaundice,"['a09.001.001.004', 'a23.003.003.030', 'a01.006.004.004']"
skin lesion,['a23.003.003.010']
transaminases increased,['a13.003.001.015']
serum transaminase increased,['a13.003.001.029']
hypocalcaemia,['a14.004.001.004']
apathy,['a19.004.004.002']
flat affect,['a19.004.001.004']
slurred speech,0
dysarthria,"['a17.002.008.001', 'a19.019.003.001']"
stomach cramps,['a07.001.005.008']
electrocardiogram st segment,['a13.014.005.035']
qrs complex,0
electrocardiogram qrs complex,['a13.014.005.034']
intoxication,0
poisoning,['a12.003.001.004']
calcium low,0
blood calcium decreased,['a13.011.001.002']
citrate toxicity,"['a14.011.001.026', 'a12.003.001.043']"
hepatic impairment,['a09.001.008.006']
liver disorder,['a09.001.008.001']
tingling of extremity,0
loose stools,0
gastrointestinal tract irritation,['a07.008.003.008']
gastrointestinal haemorrhage,"['a07.012.002.001', 'a24.007.002.009']"
hyponatraemia,['a14.005.004.002']
gastrointestinal ulcer haemorrhage,"['a07.004.004.006', 'a24.007.002.023']"
duodenal ulcer,['a07.004.002.002']
erythema multiforme,"['a23.003.001.003', 'a10.001.003.015']"
oesophagitis,['a07.008.005.001']
hallucination,['a19.010.002.002']
heartburn,['a07.001.002.005']
hepatitis,['a09.001.007.004']
gastric ulcer,['a07.004.003.002']
epigastric pain,0
faecal occult blood positive,0
occult blood positive,['a13.005.002.001']
localized exfoliation,0
warts,0
skin papilloma,"['a11.005.007.001', 'a23.010.001.002', 'a16.026.001.002']"
aggression,['a19.005.001.001']
drug hypersensitivity,['a10.001.001.001']
osteoarthritis,['a15.001.004.001']
paresis,['a17.001.004.008']
psychotic disorder,['a19.003.001.002']
hyperreflexia,['a17.002.001.002']
disorientation,"['a19.013.001.002', 'a17.002.005.015']"
clonic convulsion,['a17.012.003.008']
neurological symptom,['a17.002.005.010']
amenorrhoea,"['a21.001.002.001', 'a05.005.001.002']"
amnesia,"['a17.003.002.001', 'a19.020.001.001']"
anger,['a19.004.002.001']
ataxia,"['a08.001.002.004', 'a17.002.002.001']"
back injury,['a12.001.009.002']
bipolar disorder,['a19.016.001.003']
bipolar i disorder,['a19.016.001.002']
concussion,"['a17.011.001.004', 'a12.001.010.005']"
breast cancer,"['a16.010.001.001', 'a21.005.001.003']"
breast disorder,['a21.005.004.004']
bruxism,"['a19.011.003.001', 'a07.001.006.008']"
bursitis,['a15.004.001.001']
basal cell carcinoma,"['a16.003.002.001', 'a23.008.002.001']"
carpal tunnel syndrome,['a17.009.002.001']
pleuritic pain,['a22.002.004.008']
chest wall pain,0
musculoskeletal chest pain,"['a15.003.004.012', 'a22.009.001.001']"
colitis,['a07.008.001.001']
conjunctivitis,"['a06.004.001.002', 'a11.001.006.012']"
contusion,"['a12.001.006.001', 'a23.003.011.002', 'a15.003.001.008', 'a24.007.006.001']"
cystitis,"['a11.001.014.001', 'a20.003.002.002']"
cystitis noninfective,['a20.003.002.001']
bladder pain,['a20.002.002.001']
cyst,"['a08.003.005.001', 'a16.002.002.002']"
libido decreased,"['a19.008.003.001', 'a21.003.002.005']"
disturbance in sexual arousal,['a19.008.004.003']
dysphagia,['a07.001.006.003']
delusion,['a19.010.001.001']
dental caries,['a07.009.001.001']
depersonalisation,['a19.014.001.001']
dermatitis exfoliative,"['a10.001.001.004', 'a23.003.007.001']"
dermatitis atopic,"['a10.001.004.004', 'a23.003.004.016']"
diplopia,"['a17.017.001.005', 'a06.002.006.002']"
drug abuse,['a19.007.002.010']
dyskinesia,['a17.001.002.006']
dysmenorrhoea,['a21.001.001.002']
dysuria,['a20.002.002.002']
ear pain,['a04.003.001.003']
enuresis,"['a20.002.002.003', 'a19.007.004.001']"
epicondylitis,"['a12.001.007.001', 'a15.007.001.007']"
eructation,['a07.001.002.003']
extrapyramidal disorder,['a17.001.002.007']
flank pain,"['a15.003.004.003', 'a08.001.008.007', 'a20.002.003.006']"
vitreous floaters,['a06.009.001.005']
cardiac flutter,['a02.003.002.012']
localised infection,['a11.001.008.006']
folliculitis,"['a23.009.001.003', 'a11.002.001.002']"
food allergy,['a10.001.001.012']
food poisoning,"['a07.011.001.007', 'a11.007.002.001', 'a12.003.001.024']"
frigidity,0
